ID,mod01,mod02,mod03,mod04,c_mod,z_mod,Categ,mod01_01,mod01_02,mod01_03,mod01_04,mod01_05,c_mod1,z_mod1,mod02_01,mod02_02,mod02_03,mod02_04,mod02_05,mod02_06,mod02_07,c_mod2,z_mod2,mod03_01,mod03_02,mod03_03,mod03_04,mod03_05,mod03_06,mod03_07,c_mod3,z_mod3,mod04_01,mod04_02,mod04_03,mod04_04,mod04_05,mod04_06,c_mod4,z_mod4,Reg_hab_dens,Riv_net_disp_dist,Glac_lake_marine_dist,Time_since_glac,Surface_area,Max_depth,Secchi_depth,Prop_shield_litho,Clim_MWMT,Clim_MCMT,Clim_MSP,Clim_PAS
ID1-138,1,0,0,0,0.650887574,-1.027903427,MOD01,0,1,0,0,0,0.32,0.428234975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03195,397261.3495,25016.00647,13,38.92,8.533983542,2.533976075,0,19.72295082,-9.021311475,394,135.2786885
ID1-16,1,0,0,0,0.642857143,-1.027903427,MOD01,0,1,0,0,0,0.48,-0.44830849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018814,58629.94989,12297.94282,13,34.92,28.95458702,5.1816,0,20.0442623,-8.785245902,388.4754098,121.2295082
ID1-165,0,0,1,0,0.6484375,1.331945781,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.625,0,0,0,0,0,0,0,0,0,0.03195,60542.26207,0,11.5,3548.21,25.2971655,3.6576,0,20,-8.398360656,384.0327869,124.6393443
ID1-52,1,0,0,0,0.65625,-0.783737545,MOD01,0,1,0,0,0,0.666666667,-0.44830849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039386,1635.44128,0,12.5,427.8,3.047851265,2.04216,0,20.24262295,-7.491803279,389.4754098,113.9836066
ID1-63,1,0,0,0,0.683673469,-0.783737545,MOD01,0,1,0,0,0,0.666666667,-0.44830849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018814,94568.6566,24681.09604,13,4.47,10.3626943,6.2484,0,19.81147541,-8.957377049,393.5409836,130.2786885
ID10-111,1,0,0,0,0.665,-0.783737545,MOD01,1,0,0,0,0,0.611111111,-1.360996602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089231,40982.25096,0,11.5,202.76,24.07802499,4.138182303,0,20.71803279,-7.163934426,402.1639344,130.4262295
ID10-19,1,0,0,0,0.621527778,0.437091865,MOD01,0,0,0,1,0,0.628099174,-0.041908313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089231,5689.127122,0,11.5,231.63,8.533983542,2.377843527,0,20.61311475,-6.075409836,402.9836066,119
ID10-24,1,0,0,0,0.7,-0.783737545,MOD01,0,0,0,1,0,0.611111111,-0.522621319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089231,1121.089846,0,11.5,182.08,17.98232246,5.010456001,0,20.66885246,-5.921311475,396.3278689,113.0327869
ID10-39,1,0,0,0,0.680384088,0.681257747,MOD01,0,0,0,1,0,0.611111111,0.919517698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089231,8455.65698,0,11.5,1024.81,27.43066138,4.714384902,0,20.79344262,-6.232786885,403.6557377,116.7704918
ID10-77,1,0,0,0,0.64,-1.760401073,MOD01,0,1,0,0,0,0,-1.324851954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089231,381454.4887,0,11.5,11.88,10.05790917,2.7432,0,21.05245902,-6.601639344,401.3442623,122.4590164
ID10-95,1,0,0,0,0.62,-1.027903427,MOD01,0,1,0,0,0,0.56,-0.44830849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089231,381454.4887,0,11.5,15.71,11.27704968,3.142150374,0,20.89344262,-6.931147541,400.6885246,127.5245902
ID10000200,1,0,0,0,0.530612245,-0.051239899,MOD01,1,0,0,0,0,0.666666667,-0.809425833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032774,43812.57112,58199.01413,12.5,119.8720401,14.9352,1.475,0,22.6442623,-11.57540984,485.1147541,79.49180328
ID10000600,1,0,0,0,0.497777778,0.192925983,MOD01,1,0,0,0,0,0.58,-0.257855065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032774,54458.95599,54622.60617,12.5,99.2087729,8.8392,1.4,0,22.49180328,-11.67868852,486.147541,82.08196721
ID1000100,1,0,0,0,0.653739612,-0.051239899,MOD01,0,0,0,0,1,0.666666667,-0.525774717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017755,195387.4087,30596.16371,15,152.8741834,8.5344,1.7525,0,20.33278689,-13.86393443,485.9016393,110.9180328
